thread_id,text,sys_reply,human_grounded,human_tone,human_factual,human_actionable,judge_grounded,judge_tone,judge_factual,judge_actionable
1450849,so helpful https://t.co/2Zed3DaS4B,"Great to hear that! If you have any more questions or need help, feel free to tweet or DM us. ^KB",3,4,4,3,2,4,3,4
1879022,who is winner of #iPhone8appquiz,@123456 Thanks for reaching out! Could you provide your order number so we can check if you won the #iPhone8appquiz? ^PR,2,3,2,2,3,4,3,4
2238591,why are taking flop movies .. i am thinking that i paid money for this crap movies in prime .. 😐 plzz upload interesting movies ..,@AmazonPrime We're sorry to hear about the movies you're not enjoying. Let's chat about your subscription and preferences here: https://t.co/hApLpMlfHN ^JZ,2,3,2,2,2,3,1,2
2033180,From The Ground To My Prime Now I’m On The Rise 🙏🏾,@AmazonHelp Glad to hear you're on the rise! Prime Now is here to help you rise to new heights. Need any assistance? DMs are open! ^RA,2,3,3,2,2,4,3,2
1779364,Why @115821 so much packaging. 1 easel x1 box. When all 11 would fit in one. #Packaging #WasteReductionWeek https://t.co/QZPFU9jzGM,@115821 Thanks for your feedback! We’d love to hear more. Please use this link: https://t.co/UxP8GwnpQi to share your thoughts. Let’s work together to reduce waste. ^AP,3,4,4,3,3,4,4,4
2949401,Hello @AmazonHelp I getting the amazon echo dot soon but the Alexa app is not available in my country (Dominican Republic). So how I do set up my echo dot ?,@482227 Kindly get in touch with us here: https://t.co/6o7ZIu56xw and we’ll assist you with setting up your Echo Dot! ^AG,2,3,2,3,3,4,2,3
2408689,Prime for Belgian students?,Sure thing! You can check your eligibility for Amazon Prime Student here: https://t.co/5DOF5EcnUI ^SD,4,5,4,4,4,5,4,4
1588103,Had to call India 5x and each person makes issue worse You'd think after 3 screw ups you could only go up. You'd be wrong,"I'm sorry to hear about your experience, @123456. Let's try to resolve this together. Could you please share your order details here or via DM so we can look into it? ^JC",3,4,3,3,3,4,4,4
2897645,why are all my prime deliveries I ordered Sunday arriving Thursday? That’s not next working day delivery so why am I paying for prime if I don’t get prime?,"I understand your frustration, @116543. Prime delivery aims for next-day or same-day delivery, depending on your location. Let's check the details together—can you share your order numbers? Otherwise, I’d suggest reaching out via DM for more specific assistance. ^FD",3,4,3,2,3,4,3,2
2730270,where do I go in the app to replay interactions with Alexa?,@123456 You can replay interactions by going to the 'History' section in the Alexa app. Let us know if you need any more help! ^GB,3,4,4,4,3,4,4,4
1626657,How can I get Alexa to pronounce my daughter's name correctly? @115833,"@115833 Hi there! Alexa should pronounce names correctly. You can try saying her name a few times to train Alexa. If issues persist, let us know! ^AD",2,4,2,2,2,4,3,2
2435214,"i order 1 set of ladies suit from ur website, and rec. v. Big box with only duppata &amp; legs cloth pc but no suit cloth pc?why?how?",@123456 Thanks for bringing this to our attention! We’d appreciate it if you could share more details via Direct Message so we can look into this for you. ^AP,3,4,3,3,2,4,3,2
2297482,"How is this packaging? Contents are not secure, no privacy at all. https://t.co/9Jb3e5J4uu","I'm sorry to hear about the packaging, but it's important that the contents are secure. Could you please provide more details or send photos if possible? We can help ensure this is improved. https://t.co/hApLpMlfHN ^SE",3,4,3,3,2,4,3,2
2240584,"Please can you explain why I can use Alexa on Amazon music and turn my lights on while away from my echo, yet your own actual Amazon Alexa app won't let me talk to Alexa to do anything?",@AlexaUser Thanks for bringing this to our attention! Let's chat further to resolve this. Could you reach out to us via DMs or our app support? ^ZW,2,3,2,2,2,4,3,2
1551321,Prime shipping my ass.,I'm sorry to hear about the delay! Late deliveries can be frustrating. Could you please check the estimated delivery date for your order? ^EB,3,4,3,3,3,4,4,3
2493676,I recall this time last year @115830 promising to reduce packaging. Based on today’s delivery they clearly haven’t bothered. The brown box and packaging are what the small white box came in https://t.co/4wbLBdtvpj,I'm sorry to hear you're still seeing the same packaging. We're committed to reducing waste and will look into this. Could you please DM your order details so we can check? ^AJ,3,4,3,3,3,4,3,3
2884245,"I don’t get the option for video on the Alexa app, just books and music? @115850 . Unable to connect my fire stick to my echo @AmazonHelp",@115850 Let's troubleshoot together! Could you please reach out to us via direct message with your device details? We'll help you get connected. ^NR,3,4,3,4,3,5,4,5
2812775,"I already got my account reinstated, thank you. Now I am afraid, should I try to buy another gift card on Amazon? I don`t want to have my account blocked again, but I need to test if my credit card will work now.","Great to hear your account is back! Feel free to test your credit card by purchasing a small item first. If you have any more concerns, DM us! 🛍️😊",3,5,3,4,2,5,3,4
2296680,"maddening, it’s impossible to delete scenes from the Alexa iOS app now, and your web version just directs me to download the app on any iOS device!","We apologize for the inconvenience. You can try signing out of your account and signing back in within the Alexa app to see if that helps. If not, let's chat further in DMs for more assistance. ^VB",2,4,3,3,2,4,3,3
2968310,how do I update my cell number on the Alexa App? Also how do I allow it to sync with my contacts. Echo messaging isn't totally straight forward on the app,"@115833 To update your cell number, go to Settings > Your Info. For syncing with contacts, make sure both devices are signed in with the same Amazon account. Let me know if you need more help! ^AB",3,4,3,4,2,4,3,4
2551978,did you really need to put my yoga mat which came in a box in another box with all this packaging?a waste &amp; pain to get rid of! https://t.co/Q3X7uOnGKh,@893456 Thanks for letting us know! We’re always working on reducing packaging. Please share your thoughts here: https://t.co/gzAwmBe9nu ^JZ,3,4,3,3,3,4,4,4
2935178,"I no longer care why I didn't receive my original order.
I accepted an offer of a ""replacement"" # 204-2308236-4177934
Only to find out you don't have any - nor do you know when you will!
Think its time for a different solution for a replacement, don't you?",I understand your frustration. Let's get this sorted. Could you please DM us your order and replacement info so we can look into it? ^JO,3,4,3,4,3,4,3,4
1973513,"when will we be able to ""play on alexa"" within the music app, without Bluetooth pairing? Akin  to airplay","Thanks for the feedback! We're always working on improving the Alexa experience. For now, you can try casting directly from the Music app. Let us know if you need more help! ^LS",2,4,3,4,2,4,3,4
2803341,prime is a liar and I don’t condone this treatment 😩,I'm sorry to hear about your experience. Let's work on this together—can you share more details in a Direct Message? ^TK,2,4,3,3,2,4,3,3
2312655,our packages keep getting delivered to the wrong place. This time the delivery person included a door pic...not our door! Help!,I'm sorry to hear about the deliveries going to the wrong places! Can you please share the door pic with us so we can look into this? Reach out here: https://t.co/JzP7hlA23B ^GP,3,4,4,4,3,4,3,4
1990271,What is your policy regarding calling cards when the item is unable to be delivered due to no one being in.,"@AmazonHelpThanks For your question, we typically leave a call-back card. If no one's home, we'll try to deliver when you're there or contact you for alternative delivery options. Let us know if you need further assistance! ^MJ",2,4,2,2,2,4,3,2
2318271,Packaging overkill 😂 😂 😂 that's one toy v one fully grown adult! https://t.co/rNTDIZEJOp,"Thanks for letting us know! We aim to use just the right amount of packaging. If you have any other feedback or issues, feel free to reach out! ^HC",2,4,3,2,2,4,3,2
1911973,"Starting to regret buying a Trust keyboard and not a Microsoft one.

The modifier keys on this thing are stiff and the space bar is too small.","Thanks for letting us know! We're sorry to hear about your Trust keyboard. Have you tried adjusting the modifier key settings or using a keyboard layout that might feel more comfortable? If not, feel free to reach out with more details. ^VM",2,4,2,2,2,4,3,3
2418884,@AmazonHelp I have very poor experience with Amazon for the resolution of my Amazon Pay issue. No body knows the solution. Even send snapshot for issue to customer care mail. Following up since long. Nothing professional in Amazon India at least.,"I'm sorry to hear about your experience, @115850. Let's resolve this. Could you please share your order details here or via DM so we can look into it? ^JC",3,4,3,4,3,4,3,4
2220076,i’ve done tht...bt nothing happens wht now??,"I'm sorry to hear that, @username! Let's get this sorted. Could you please DM us your order details so we can look into it? ^MP",3,4,4,4,3,4,4,4
2816323,I can’t use my MasterCard gift card to reload my amazon account. I don’t know what I am doing wrong. It’s a fully loaded $50.00 gift card.,@123456 Let's troubleshoot this together! Can you DM us your account details so we can check why the reload might be stuck? ^AD,2,4,3,3,2,4,3,3
2609857,back at it again with unnecessarily large packaging https://t.co/UBnGBdPWMs,@115830 Thanks for letting us know! We’re always working on ways to improve. Could you share your feedback here or via DM? Your input helps us a lot! ^TG,2,4,3,3,3,4,3,3
1649125,any current promo codes for athletic shoes?,Thanks for asking! Check our website for the latest promo codes. Let us know if you need more help! ^AL,2,4,3,2,2,4,3,3
