text,cluster_id
Can I purchase something and have someone else pick it up?,3
turns out the carrier lost the package with my pokemon games so amazon is making a new order and giving me $5 🙃🙃🙃,7
"delivered my package at 8:25 in the morning...
OMG 😱😱
Is this a new record 😂",4
DISGUSTED with @115830  you have let my autistic son down!preordered Pokemon in June and now its been sent to wrong facility!And still no answers from chat of when it will arrive!#upset10yearold,1
Not pleased that @115821 has left my packages out on a busy street to get stolen twice now... while some carriers bring them inside. Not a fan of stolen packages!! 📦,2
pleas stop shipping to me with AMZL. Packages are never on time or here by guarantied delivery date. I’ll take a refund!!,2
"@118341 @118342 Dearest Amazon , you ship million of packages everyday , all in plastic packing , which torn and thrown and end up in landfills , urge you to stop packing the material and just put stickers on manufacturer packing .",7
"I preordered #FireEmblemWarriors in Jan17 from u direct. Released this Friday, my order says expected delivery 1stDec 2017! why???",4
It's like extortion from the customer! Forcing the customer to buy minimum of 2 items even though it's not needed.. @118702 @4030 I hope you don't follow such unfair practices ! https://t.co/Gtg5GVCHgv,1
"low-key though, i ordered this early september i think, i've tried contacting the seller multiple times no response and i think the only review on the product said their product never came https://t.co/V839nLqvSM",4
why did you launch in India when you don't even want to list basic skills like IFTTT?? (1/2),5
"Dear @115821, I got everything I ordered in the mail today except for one item.",1
One plus 5 out of stock! When will it be available again on @115821 @132994 ?,10
@290981 @200784 Wow great but try to make it better as a feedback please take y,1
oi. so i ordered a love yourself album. why did i get a skool luv affair album and a face mask?? explain urself sir https://t.co/UKJEWHcuMu,5
this takes me no where :/ https://t.co/moNcNoc3mr,5
Not sure why I even bother paying for @115830 Prime. Waited all weekend for a parcel that was due Friday. Still don’t have it. Online chat service is the worst.,8
hi I have a hayu subscription already but on my amazon tv there is no option to log in ☹️,10
"we received a package tonight. The driver dropped it off instead of knocking per instructions. A car was following them, if I wasn’t home my grandson would have been out of a Christmas present",2
I have bought red-mi 4 (order id 405-6521070-3942729).But i got only the wet wipes. Return my money or send me the phone asap. https://t.co/zTXveRbol7,6
@115821 even after reinstalling the app I’m facing the same problem. Kindly fix it or repay my prime membership. https://t.co/NuoswiZcXK,10
Dnt wry @115850 I will surely close ur #amazonpay service in india till u wil nt give withdraw facility to the #Indian consumer https://t.co/vdMWMLlHrq,0
"I’m having problems with the app, not letting me see my orders or contact customer serv. says error occurred",6
"yo amazon, why TF is my audio cable not working? Bought it less than a month ago. V dissatisfied",0
"Hello, the website says that my package was delivered yesterday and handled directly to a resident. There is certainly an issue i have received nothing and nothing was left in front of my door. Thank you for your help.",2
"How do I contact @115830 ? I'm going round in circles on the tedious website, trying to sort a potential fraud issue out. Hopeless!",1
"@115830 I have an order that's gone wild, said it was out for delivery yesterday.. never came, then again today..never came",1
"31.49 minutes later and still on hold, waiting to talk to a supervisor.",6
Thanks for nothing @115821 paid extra to get a package by today . According to customer service still hasn’t shipped and no idea when it will ship,1
Hey @115821 I bought Blade Runner on blu ray 2 months ago and it just got delayed again. Not even an update on when it should come now. Am I actually ever gonna get it?,4
When @115821 customer service manager thinks this is ok and here is no need to compensate you...  you find another vendor to shop with. Time to #BoycottAmazon https://t.co/sZbQEV2R5Z,6
